"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年5月30日","13.89","13.93","14.05","13.82","1.53M","0.80%"
"2019年5月29日","13.78","13.88","14.02","13.65","3.34M","-1.64%"
"2019年5月28日","14.01","14.37","14.63","13.98","3.62M","-0.28%"
"2019年5月24日","14.05","14.49","14.57","13.99","2.45M","-1.89%"
"2019年5月23日","14.32","14.20","14.47","13.83","4.85M","-2.52%"
"2019年5月22日","14.69","14.73","14.99","14.45","2.48M","-0.54%"
"2019年5月21日","14.77","14.87","15.04","14.64","5.22M","1.30%"
"2019年5月20日","14.58","15.00","15.10","14.43","4.53M","-5.02%"
"2019年5月17日","15.35","15.53","15.70","15.25","4.08M","-2.91%"
"2019年5月16日","15.81","15.63","15.96","15.50","3.53M","1.80%"
"2019年5月15日","15.53","15.46","15.69","15.19","4.80M","0.91%"
"2019年5月14日","15.39","16.69","16.70","14.82","16.74M","-5.06%"
"2019年5月13日","16.21","16.51","16.65","16.03","4.67M","-5.20%"
"2019年5月10日","17.10","17.17","17.50","16.58","3.93M","-0.23%"
"2019年5月9日","17.14","16.71","17.17","16.19","6.10M","0.00%"
"2019年5月8日","17.14","17.08","17.39","16.80","3.63M","0.29%"
"2019年5月7日","17.09","17.27","17.60","16.97","3.04M","-1.78%"
"2019年5月6日","17.40","17.35","17.57","17.03","4.83M","-4.34%"
"2019年5月3日","18.19","17.90","18.31","17.75","3.25M","2.65%"
"2019年5月2日","17.72","17.80","18.15","17.52","2.46M","-0.62%"
"2019年5月1日","17.83","17.90","18.08","17.80","2.54M","0.17%"
"2019年4月30日","17.80","17.56","17.90","17.45","3.62M","0.68%"
"2019年4月29日","17.68","17.72","17.85","17.41","2.64M","-0.56%"
"2019年4月26日","17.78","17.47","17.81","17.28","2.25M","1.66%"
"2019年4月25日","17.49","17.54","17.65","17.03","2.99M","-1.58%"
"2019年4月24日","17.77","17.66","17.89","17.19","2.29M","0.23%"
"2019年4月23日","17.73","17.62","17.99","17.61","4.25M","0.06%"
"2019年4月22日","17.72","17.00","17.75","17.00","2.79M","1.55%"
"2019年4月18日","17.45","17.00","17.54","16.96","3.43M","3.07%"
"2019年4月17日","16.93","17.26","17.30","16.71","5.30M","-0.99%"
"2019年4月16日","17.10","17.49","17.55","17.00","4.52M","-0.47%"
"2019年4月15日","17.18","18.08","18.15","16.88","8.86M","-6.22%"
"2019年4月12日","18.32","17.82","18.52","17.68","7.31M","4.87%"
"2019年4月11日","17.47","17.50","17.77","17.38","3.65M","-0.91%"
"2019年4月10日","17.63","17.99","17.99","17.42","2.90M","-1.18%"
"2019年4月9日","17.84","17.92","17.96","17.77","2.44M","-0.39%"
"2019年4月8日","17.91","17.94","18.14","17.69","5.20M","-0.61%"
"2019年4月5日","18.02","17.39","18.25","17.24","7.91M","4.59%"
"2019年4月4日","17.23","18.03","18.19","16.92","11.66M","-4.70%"
"2019年4月3日","18.08","18.27","18.60","17.98","21.66M","0.17%"
"2019年4月2日","18.05","18.39","18.59","17.99","9.10M","-3.99%"
"2019年4月1日","18.80","19.24","19.30","18.16","5.94M","-0.79%"
"2019年3月29日","18.95","18.41","18.97","17.83","6.27M","4.70%"
